player_name,comp_player_name,same_hand,rank,arsenal_distance
"Allard, Kolby","Mikolas, Miles",False,1,0.5561999943343312
"Allard, Kolby","Cecconi, Slade",False,2,0.5742914186404302
"Allard, Kolby","Walker, Taijuan",False,3,0.593592519195367
"Allard, Kolby","Burrows, Mike",False,4,0.6392948289088108
"Allard, Kolby","Pérez, Eury",False,5,0.6533958479046476
"Allard, Kolby","Wacha, Michael",False,6,0.6724785096898459
"Allard, Kolby","Englert, Mason",False,7,0.6736348417420793
"Allard, Kolby","Yamamoto, Yoshinobu",False,8,0.6993856093975542
"Allard, Kolby","Paddack, Chris",False,9,0.7332510845542163
"Allard, Kolby","Boushley, Caleb",False,10,0.7584148737980926
"Montero, Keider","Jobe, Jackson",True,1,0.46646340360863725
"Montero, Keider","Wheeler, Zack",True,2,0.5870455161458276
"Montero, Keider","McGreevy, Michael",True,3,0.6215162395754633
"Montero, Keider","Bibee, Tanner",True,4,0.6348805077179968
"Montero, Keider","Simpson, Josh",False,5,0.6354445350831776
"Montero, Keider","Arrighetti, Spencer",True,6,0.6989754865440457
"Montero, Keider","Messick, Parker",False,7,0.7150973173387195
"Montero, Keider","Olson, Reese",True,8,0.7275671988100815
"Montero, Keider","Megill, Tylor",True,9,0.7317705697418195
"Montero, Keider","Duran, Jhoan",True,10,0.7617224132834748
"Junk, Janson","Schmidt, Clarke",True,1,0.34939309290504034
"Junk, Janson","Leahy, Kyle",True,2,0.43622898613626815
"Junk, Janson","Mazur, Adam",True,3,0.6316345485339812
"Junk, Janson","Strowd, Kade",True,4,0.6737466116615326
"Junk, Janson","Faucher, Calvin",True,5,0.7133810866113223
"Junk, Janson","Vasil, Mike",True,6,0.7583418037709991
"Junk, Janson","López, Pablo",True,7,0.8162158481538555
"Junk, Janson","Taillon, Jameson",True,8,0.9059407309584834
