player_name,season,p_throws,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Berríos, José",2024,R,2914.0,-1.9855156500000002,5.612285280000001,6.42900057,89.16743360000001,-0.3983835588234121,-0.24922040076377508
"Bibee, Tanner",2024,R,3103.0,-2.25643898610139,6.177715888411158,6.607884231576842,88.78640961903811,-0.4481847296246097,0.3627075729015857
"Bido, Osvaldo",2024,R,1056.0,-2.279343644364436,5.847502330233023,6.299817891789179,90.89619805980598,-0.6205803784134046,0.5362310168344869
"Bielak, Brandon",2024,R,510.0,-1.0648393660633935,6.204526757324268,5.526478052194779,88.2339421357864,1.3580561608694561,1.0758535928952624
"Bigge, Hunter",2024,R,285.0,-0.5379708599999999,5.67440266,6.758582280000001,93.55650748000001,-1.1219232342306222,0.5564051249615504
"Bird, Jake",2024,R,684.0,-2.26717355,5.376037779999999,5.91170959,89.72111686999999,-0.07890644994852464,-0.12135410529462717
"Birdsong, Hayden",2024,R,1290.0,-1.2175541654165416,6.339446864686469,6.505922102210221,89.72535719571957,-0.09491190612960232,0.8900262584399307
"Bivens, Spencer",2024,R,768.0,-1.8399297870212978,5.971051664833516,6.352075242475752,90.02816527347267,-0.3136456775309955,0.5096379457655845
"Blach, Ty",2024,L,1133.0,3.0683384,5.73834858,5.15268728,84.95990188,3.7666043360944284,0.07910084933098895
"Black, Mason",2024,R,663.0,-2.0907702370237025,5.09218795879588,6.750861466146615,89.00036249624964,-0.9443775800285478,-1.2700839842707101
"Blackburn, Paul",2024,R,1212.0,-2.0534944394439445,6.0425503750375045,6.245774477447745,87.03050571057106,0.3533517958325101,0.0604758589171839
"Blalock, Bradley",2024,R,552.0,-2.22150305,6.4044457999999995,6.42319039,88.69044905999999,-0.12861274854677499,0.8036033614424972
"Blanco, Ronel",2024,R,2801.0,-0.9680567243275673,6.112885431456855,6.790600119988001,88.2425393960604,-0.11640967542515303,0.057907685152444224
"Blewett, Scott",2024,R,302.0,-1.8851626000000001,6.2645960800000005,7.129134320000001,88.51475476000002,-0.8440230131375185,0.07531113639253677
"Bloss, Jake",2024,R,238.0,-2.6136600000000003,5.742570540000001,6.9453511,88.27807796,-1.0071159801987135,-0.6224001396514823
"Bolton, Cody",2024,R,312.0,-2.436010358964104,5.403664613538647,6.345210298970103,89.86197134286571,-0.6649685348657839,-0.3606570197448848
"Booser, Cam",2024,L,695.0,2.7280099390060997,5.742352834716529,6.32748207179282,89.75900136986301,1.319403353749141,0.24806331559682482
"Bowman, Matt",2024,R,497.0,-2.87618672,5.73242488,6.73359648,88.21628896,-0.8437886568061765,-0.5074864630095777
"Boyd, Matthew",2024,L,849.0,2.27831305,5.45510923,6.2676045600000005,85.25453634,2.033576311779944,-1.074904311745172
"Boyle, Joe",2024,R,931.0,-0.8733488000000001,6.23254392,6.60537548,93.15922349000002,-0.8054434528142879,1.386230307151241
"Bradford, Cody",2024,L,1175.0,0.5578536746325368,6.224388201179883,7.133517898210179,84.9427515548445,0.7164017223641336,-0.6696330248303313
"Bradish, Kyle",2024,R,674.0,-1.0365442744274427,6.35501897189719,6.56096402640264,91.15176778677869,-0.3735158240631116,1.174753056360894
"Bradley, Taj",2024,R,2294.0,-1.4508881900000001,6.10582806,6.522019,92.10889863999999,-0.7447904121218903,1.0281474129083186
"Brasier, Ryan",2024,R,501.0,-1.46226327,5.770789539999999,6.8662702200000005,90.42671179,-0.9235444980199369,-0.05152372948755337
"Brazobán, Huascar",2024,R,864.0,-1.6174946500000003,5.851388290000001,5.8592447,92.78006311000001,-0.2434645254825459,1.2589733738618107
"Brebbia, John",2024,R,994.0,-1.9201350700000002,5.8746317,6.62094233,88.26930962,-0.3375647570536315,-0.18715728237680798
"Brewer, Colten",2024,R,391.0,-2.50702159,6.02746391,6.30845825,88.13677715,-0.10583445459365382,0.21337434712516434
"Brieske, Beau",2024,R,1239.0,-1.4892076592340766,5.984158384161584,6.098584601539846,92.20995370462954,-0.3221336953891849,1.1687014055217764
"Brito, Jhony",2024,R,619.0,-1.252574897489749,6.149306290629062,6.393089908990901,92.50746365636564,-0.5889552287881582,1.2696845456377466
"Brooks, Aaron",2024,R,403.0,-2.0119563543645635,6.305829407059295,6.131994310568943,88.6552502349765,0.26194894822833353,0.8624330252004732
"Brown, Ben",2024,R,849.0,-1.5494083600000002,6.3703994900000005,6.691290309999999,92.7829593,-1.0275278335438374,1.43210575253224
"Brown, Hunter",2024,R,2988.0,-1.6153044400000003,6.256496660000001,6.6029186100000015,92.39846444000001,-0.9074365089943651,1.2468841835321036
