player_name,pitch_type,HB,IVB,usage,velo,pitches
"Buehler, Walker",CH,-15.8608,5.2032,0.0685,89.6873,150
"Buehler, Walker",FC,4.3683,10.8762,0.169,90.5946,370
"Buehler, Walker",FF,-5.7334,16.899,0.2531,93.9877,554
"Buehler, Walker",KC,11.3255,-14.7481,0.1288,77.4326,282
"Buehler, Walker",SI,-15.251,10.8518,0.164,93.7716,359
"Buehler, Walker",SL,8.2978,3.5996,0.1476,87.5028,323
"Buehler, Walker",ST,16.3033,1.5679,0.069,80.8788,151
"Bummer, Aaron",CU,-12.7659,-8.3783,0.3509,81.0058,327
"Bummer, Aaron",FF,8.4755,11.0472,0.1245,91.5802,116
"Bummer, Aaron",SI,14.4837,1.2233,0.3476,90.8228,324
"Bummer, Aaron",ST,-14.8134,-0.4763,0.176,81.2329,164
"Burgos, Juan",FC,0.0362,5.5134,0.3318,91.8575,73
"Burgos, Juan",SI,-13.8767,3.8983,0.3273,95.8236,72
"Burgos, Juan",ST,13.2051,0.4989,0.3182,85.1786,70
"Burke, Brock",CH,15.24,5.1202,0.2199,88.7552,223
"Burke, Brock",FF,8.3847,15.8057,0.4241,96.1163,430
"Burke, Brock",SI,15.077,10.6415,0.0799,93.484,81
"Burke, Brock",SL,1.0761,5.0919,0.2761,87.8946,280
"Burke, Sean",CH,-14.7809,8.8986,0.0652,85.6697,155
"Burke, Sean",FF,-4.9985,18.3911,0.4306,94.4429,1023
"Burke, Sean",KC,5.8998,-14.8885,0.237,79.7286,563
"Burke, Sean",SL,5.3748,4.8955,0.2189,86.6188,520
"Burnes, Corbin",CH,-15.3912,7.7458,0.0723,88.3493,73
"Burnes, Corbin",CU,9.7082,-11.5027,0.1923,80.0335,194
"Burnes, Corbin",FC,2.4365,12.1825,0.55,94.0847,555
"Burnes, Corbin",SI,-12.6445,10.9089,0.0961,95.6144,97
"Burnes, Corbin",SL,6.2427,1.408,0.0892,87.8456,90
"Burns, Chase",FF,-3.4934,18.1165,0.5771,98.6886,449
"Burns, Chase",SL,5.0486,1.335,0.3393,90.889,264
"Burrows, Mike",CH,-13.8733,7.9466,0.2375,87.3077,365
"Burrows, Mike",CU,8.8243,-16.2256,0.1191,78.4699,183
"Burrows, Mike",FF,-5.6679,16.9326,0.3917,95.5095,602
"Burrows, Mike",SI,-14.1986,11.8717,0.0566,95.7126,87
"Burrows, Mike",SL,3.6488,2.9684,0.1952,87.277,300
"Buttó, José",CH,-9.4446,3.2292,0.1516,88.35,166
"Buttó, José",FF,-3.1232,15.1046,0.3059,95.2122,335
"Buttó, José",SI,-14.5594,10.1022,0.1726,94.6889,189
"Buttó, José",SL,2.8698,-0.3717,0.2995,86.5223,328
